"X1","X3","X25","X44","X46","X54","X56","X57","X68","X89","X93","X103","X131","X135","X148","X153","X166","X195","X201","X207","X212","X229","X230","X235","X236","X245","X252","X267","X290"
"ID","2","24","43","45","53","55","56","67","88","92","102","130","134","147","152","165","194","200","206","211","228","229","234","235","244","251","266","289"
"battery_power","875","514","1910","723","1723","1846","1524","1561","1380","1640","1989","1356","1972","1883","793","1754","1262","1283","1670","1439","1709","1396","1999","1364","888","1712","730","1122"
"blue","1","1","1","0","1","1","0","0","1","0","0","1","0","1","1","0","0","1","1","0","0","1","0","1","0","1","1","0"
"clock_speed","0.7","1.6","1.7","0.5","1.1","1","2.1","0.5","2.1","0.5","1.8","0.5","1.2","2.6","1.9","1.6","1.8","2.4","1.6","0.9","2.2","0.8","0.5","1.6","2.6","0.9","0.5","2.8"
"dual_sim","1","0","0","0","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","1","0"
"fc","1","7","0","0","1","5","6","10","1","1","16","0","0","2","0","0","12","8","0","12","1","7","1","6","2","2","3","0"
"four_g","0","1","0","1","0","1","1","1","1","1","1","0","0","1","1","0","0","1","0","1","1","1","1","1","1","0","1","0"
"int_memory","30","37","34","3","42","53","64","4","4","36","10","35","37","50","43","15","34","33","47","20","13","10","15","44","33","23","27","28"
"m_dep","0.7","0.1","0.6","0.2","1","0.7","0.4","0.5","0.8","0.9","0.9","0.8","0.7","0.1","0.3","0.1","0.1","1","0.8","0.8","0.6","0.3","0.7","0.1","0.4","1","0.1","0.6"
"mobile_wt","146","172","115","168","164","106","83","134","92","87","86","131","102","169","124","166","149","93","139","147","191","108","183","174","198","155","112","184"
"n_cores","8","1","2","4","8","8","5","2","3","8","3","1","2","5","8","5","5","3","8","1","6","4","8","7","2","7","5","3"
"pc","8","9","0","3","14","7","16","13","13","11","18","19","1","3","2","1","16","15","15","17","6","16","11","8","17","19","10","4"
"px_height","469","956","985","920","202","185","351","885","420","664","135","782","715","313","15","318","223","510","1706","626","74","646","33","615","327","155","62","1578"
"px_width","853","1723","1284","1748","1791","1832","592","1811","500","1806","576","951","1648","561","1196","1810","737","980","1886","932","516","1721","653","1142","1683","663","846","1963"
"ram","702","3392","309","1851","3587","563","2905","1783","797","3235","2158","3451","2870","427","1050","1966","3248","773","876","1790","3899","3881","3840","2741","3407","1422","3623","1402"
"sc_h","19","12","8","15","10","9","6","13","13","6","14","5","16","17","11","12","13","17","16","19","16","13","19","9","12","5","9","14"
"sc_w","15","8","4","3","5","5","1","12","2","1","8","2","0","8","9","7","3","7","0","12","13","0","17","3","1","0","4","10"
"talk_time","15","5","10","16","3","10","2","10","15","10","4","17","17","10","3","7","4","2","5","15","3","9","12","18","20","15","15","3"
"three_g","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0"
"touch_screen","1","1","0","0","0","0","1","1","1","0","0","1","0","0","1","0","1","1","1","0","0","1","0","0","0","1","1","1"
"wifi","1","1","1","0","0","1","1","0","0","1","0","1","0","1","1","0","1","0","0","1","1","1","1","1","0","0","0","0"
